I0422 15:05:07.978934   16888 server.go:327] Starting Server
I0422 15:05:07.979934   16888 server.go:330] Server running in listen-only mode
I0422 15:05:10.081854   16888 nat.go:109] network port udp:51601 could not be mapped: no UPnP or NAT-PMP router discovered
I0422 15:05:10.182374   16888 udp.go:212] Listening, enode://68d82ca58ea43baa280fa06f9d5188e1f3c8a77403f46cc9082ac3bd3b3a0d0ed0026a380f0bf63cd8017f6bc06bb5bcdc27a90fef0c357d41c8b153ea9b5cae@0.0.0.0:51601
I0422 15:05:10.182374   16888 server.go:528] new task: discovery bootstrap
I0422 15:05:10.182875   16888 server.go:562] <-taskdone: discovery bootstrap
I0422 15:05:10.182875   16888 server.go:528] new task: discovery lookup
I0422 15:05:10.183875   16888 server.go:562] <-taskdone: discovery lookup
I0422 15:05:10.183875   16888 server.go:528] new task: discovery lookup
I0422 15:05:10.188376   16888 database.go:196] failed to retrieve node 979b7fa28feeb35a4741660a16076f1943202cb72b6af70d327f053e248bab9ba81760f39d0701ef1d8f89cc1fbd2cacba0710a12cd5314d5e0c9021aa3637f9: leveldb: not found
I0422 15:05:10.188876   16888 table.go:417] Bonding 979b7fa28feeb35a: known=false, fails=0 age=405917h5m10.1888762s
I0422 15:05:10.188876   16888 table.go:417] Bonding 808f2f30d004649b: known=true, fails=0 age=68h18m59.1888762s
I0422 15:05:10.188876   16888 table.go:417] Bonding 94a9327bdd05c724: known=true, fails=0 age=68h23m16.1888762s
I0422 15:05:10.188876   16888 table.go:417] Bonding 21730d32700b8b03: known=true, fails=0 age=68h17m25.1888762s
I0422 15:05:10.189376   16888 table.go:417] Bonding 865cda0c7c2fb72f: known=true, fails=0 age=68h23m26.1888762s
I0422 15:05:10.189376   16888 table.go:417] Bonding 0783247e8da9b3bc: known=true, fails=0 age=68h23m36.1893763s
I0422 15:05:10.189376   16888 table.go:417] Bonding a153ba7b6437ba7c: known=true, fails=0 age=68h23m20.1893763s
I0422 15:05:10.189376   16888 table.go:417] Bonding 2e59a9ef5be7134c: known=true, fails=0 age=68h13m58.1893763s
I0422 15:05:10.189376   16888 table.go:417] Bonding 0ff725480cee38ba: known=true, fails=0 age=68h23m25.1893763s
I0422 15:05:10.189876   16888 table.go:417] Bonding bab540a5f3d18a1a: known=true, fails=0 age=68h23m12.1898764s
I0422 15:05:10.189876   16888 table.go:417] Bonding 44edbd96ed7087e2: known=true, fails=0 age=68h23m25.1898764s
I0422 15:05:10.189876   16888 table.go:417] Bonding c04b82d4c97ff254: known=true, fails=0 age=68h23m24.1898764s
I0422 15:05:10.189876   16888 table.go:417] Bonding 4d4ebb39a3cd982e: known=true, fails=0 age=68h23m24.1898764s
I0422 15:05:10.189876   16888 table.go:417] Bonding d278c62908111d17: known=true, fails=0 age=68h23m24.1898764s
I0422 15:05:10.190376   16888 table.go:417] Bonding 6708b3f693158471: known=true, fails=0 age=68h23m24.1903765s
I0422 15:05:10.190376   16888 table.go:417] Bonding 5a69b0b403fd232d: known=true, fails=0 age=68h23m35.1903765s
I0422 15:05:10.190376   16888 table.go:417] Bonding 5e1e1c32eee58bde: known=true, fails=0 age=68h23m36.1903765s
I0422 15:05:10.191376   16888 udp.go:429] >>> 73.151.15.7:30303 discover.ping
I0422 15:05:10.191376   16888 udp.go:429] >>> 194.87.1.232:30303 discover.ping
I0422 15:05:10.191376   16888 udp.go:429] >>> 93.31.210.155:30303 discover.ping
I0422 15:05:10.191876   16888 udp.go:429] >>> 172.12.61.53:30303 discover.ping
I0422 15:05:10.191876   16888 udp.go:429] >>> 91.79.141.170:30303 discover.ping
I0422 15:05:10.191876   16888 udp.go:429] >>> 216.126.213.226:30303 discover.ping
I0422 15:05:10.192376   16888 udp.go:429] >>> 159.122.120.206:30303 discover.ping
I0422 15:05:10.192376   16888 udp.go:429] >>> 188.166.2.50:30303 discover.ping
I0422 15:05:10.192376   16888 udp.go:429] >>> 50.83.194.86:30303 discover.ping
I0422 15:05:10.192877   16888 udp.go:429] >>> 31.10.152.2:25211 discover.ping
I0422 15:05:10.192877   16888 udp.go:429] >>> 65.183.146.172:30303 discover.ping
I0422 15:05:10.193377   16888 udp.go:429] >>> 5.1.83.226:30303 discover.ping
I0422 15:05:10.193377   16888 udp.go:429] >>> 91.125.0.161:30303 discover.ping
I0422 15:05:10.193377   16888 udp.go:429] >>> 45.79.84.183:30303 discover.ping
I0422 15:05:10.193377   16888 udp.go:429] >>> 54.152.103.175:30303 discover.ping
I0422 15:05:10.193877   16888 udp.go:429] >>> 93.143.148.38:30303 discover.ping
I0422 15:05:10.350908   16888 udp.go:497] <<< 45.79.84.183:30303 *discover.pong: ok
I0422 15:05:10.352408   16888 udp.go:429] >>> 45.79.84.183:30303 discover.pong
I0422 15:05:10.352408   16888 udp.go:497] <<< 45.79.84.183:30303 *discover.ping: ok
I0422 15:05:10.374413   16888 udp.go:497] <<< 216.126.213.226:30303 *discover.pong: ok
I0422 15:05:10.375913   16888 udp.go:429] >>> 216.126.213.226:30303 discover.pong
I0422 15:05:10.375913   16888 udp.go:497] <<< 216.126.213.226:30303 *discover.ping: ok
I0422 15:05:10.399918   16888 udp.go:429] >>> 98.249.192.143:30303 discover.ping
I0422 15:05:10.483435   16888 udp.go:497] <<< 159.122.120.206:30303 *discover.pong: ok
I0422 15:05:10.485435   16888 udp.go:429] >>> 159.122.120.206:30303 discover.pong
I0422 15:05:10.485435   16888 udp.go:497] <<< 159.122.120.206:30303 *discover.ping: ok
I0422 15:05:10.491436   16888 udp.go:497] <<< 188.166.2.50:30303 *discover.pong: ok
I0422 15:05:10.493437   16888 udp.go:429] >>> 188.166.2.50:30303 discover.pong
I0422 15:05:10.493437   16888 udp.go:497] <<< 188.166.2.50:30303 *discover.ping: ok
I0422 15:05:10.494437   16888 udp.go:497] <<< 93.31.210.155:30303 *discover.pong: ok
I0422 15:05:10.495937   16888 udp.go:429] >>> 93.31.210.155:30303 discover.pong
I0422 15:05:10.495937   16888 udp.go:497] <<< 93.31.210.155:30303 *discover.ping: ok
I0422 15:05:10.527443   16888 udp.go:497] <<< 194.87.1.232:30303 *discover.pong: ok
I0422 15:05:10.538446   16888 udp.go:429] >>> 194.87.1.232:30303 discover.pong
I0422 15:05:10.538446   16888 udp.go:497] <<< 194.87.1.232:30303 *discover.ping: ok
I0422 15:05:10.540446   16888 udp.go:497] <<< 91.79.141.170:30303 *discover.pong: ok
I0422 15:05:10.544947   16888 udp.go:429] >>> 91.79.141.170:30303 discover.pong
I0422 15:05:10.544947   16888 udp.go:497] <<< 91.79.141.170:30303 *discover.ping: ok
I0422 15:05:10.637465   16888 udp.go:497] <<< 98.249.192.143:30303 *discover.pong: ok
I0422 15:05:10.642466   16888 udp.go:429] >>> 98.249.192.143:30303 discover.pong
I0422 15:05:10.642466   16888 udp.go:497] <<< 98.249.192.143:30303 *discover.ping: ok
I0422 15:05:10.692476   16888 udp.go:429] >>> 170.75.163.192:30303 discover.ping
I0422 15:05:10.910520   16888 udp.go:497] <<< 170.75.163.192:30303 *discover.pong: ok
I0422 15:05:10.910520   16888 table.go:340] seed node (age 44.9105205s): enode://0d15e46c3ef35047fd61b76414182a0ab96bf26572f28632cf7fd88bc28399a0a6a9ed9749d0f371ee059e2266bf5fdacbc302398bc428f0dd16c107aba00ac4@81.217.26.88:30303?discport=48746
I0422 15:05:10.910520   16888 table.go:340] seed node (age 44.9105205s): enode://129a1bb1e3beb1b679750c9aa34b6557a686d9d698b4b4039f578c3729dae83a26c5bed6bb5f2e72063a2a4b9b0784604e8f0aba8a346639b99e965fade0ab79@192.95.60.60:30303
I0422 15:05:10.911020   16888 table.go:340] seed node (age 46.9105205s): enode://715fc3ac29ce9b9b68daaffecb5bdedbff9c98c71e93919d262feb4d2a11ff8157d624eb3e790d5406a91d083185557765398ae075723905febfb190a9a942e3@62.194.60.156:30303
I0422 15:05:10.911020   16888 table.go:340] seed node (age 46.9110206s): enode://1118980bf48b0a3640bdba04e0fe78b1add18e1cd99bf22d53daac1fd9972ad650df52176e7c7d89d1114cfef2bc23a2959aa54998a46afcf7d91809f0855082@52.74.57.123:30303
I0422 15:05:10.911020   16888 table.go:340] seed node (age 46.9110206s): enode://acc75756c25718088f8eb90af319625207d42b62ab0363fbcd49d2a5b019a383d250bfae5d4950c95a157bf41c34d8b1def57b72b6d4892b73ee36578c346286@74.208.123.194:30303
I0422 15:05:10.911020   16888 table.go:340] seed node (age 44.9110206s): enode://ca5cda46060528e01f9626f21102f73d37ae51782e3b411162d41adb6dc8bec4723aaa97627b16f4faba9276c64fe163bfab5a72245e9a15fbb8eb89e69bd450@136.243.73.173:30303
I0422 15:05:10.911020   16888 table.go:340] seed node (age 911.0206ms): enode://361150fe8b2f282ce1807393448ce4d9b06aa58346e25b65db81f85cbe148e5c5b2d9f77a607439a0ec975053664d9b31e99896aa72b41414de90dd8f5169e2e@170.75.163.192:30303
I0422 15:05:10.911020   16888 table.go:340] seed node (age 46.9110206s): enode://a979fb575495b8d6db44f750317d0f4622bf4c2aa3365d6af7c284339968eef29b69ad0dce72a4d8db5ebb4968de0e3bec910127f134779fbcb0cb6d3331163c@52.16.188.185:30303
I0422 15:05:10.911020   16888 table.go:340] seed node (age 46.9110206s): enode://42bc3f92c9c9ca4938639267856f3403955e34cbf83da605132357b3c7f70760145c56d3ab4613df03b9801bbfb9cb885eef7e22cd8c692ae8440aed79307310@120.27.252.209:30303
I0422 15:05:10.911520   16888 table.go:340] seed node (age 45.9115207s): enode://6f38d50935f12dcbc0ebbc7b5c6b0522ae1bebd5211d806c2de6b54457bb8070b4b431eea1a44c0aae2eb47d67a8a8f9c1db309258ad66c00fc52bc13d408c0d@188.226.178.57:30303
I0422 15:05:10.911520   16888 table.go:340] seed node (age 46.9115207s): enode://de471bccee3d042261d52e9bff31458daecc406142b401d4cd848f677479f73104b9fdeb090af9583d3391b7f10cb2ba9e26865dd5fca4fcdc0fb1e3b723c786@54.94.239.50:30303
I0422 15:05:10.911520   16888 table.go:340] seed node (age 44.9115207s): enode://f973303c0c45a05c06bea1b52a3c76c71e43245d4991b0318e6cf24ff1edc11b9230f77330e26777392371f20d75e88def9f3f0890ba061455e3fb70189e0397@125.237.92.75:30303
I0422 15:05:10.911520   16888 table.go:340] seed node (age 44.9115207s): enode://d94fa918ebef7594f7bb3313f233e41225b0f1286e381b29ad061fb4ce8035cf9473bbd91c49802822140b82d96f6bcab03f719e414d1d892f0c6ee65732fcb9@144.76.52.182:30303
I0422 15:05:10.911520   16888 table.go:340] seed node (age 44.9115207s): enode://ef3b0ade2365f791f3768ef45e516059f7e300955b87940dbdd2e87f1faa173f329eada73b7f9b639736ee96f5278f08e025eecc4b07f15e470a29663c490933@118.105.208.127:30303
I0422 15:05:10.911520   16888 table.go:340] seed node (age 43.9115207s): enode://e67efab25fd366f4354bf8ea04cf60e3b0da8147770ac9c0460e8d2fa05d8eab8e2506774c10dced5b6278855843c42ab866b35cde210d42427ea0703e083609@73.33.181.145:30303
I0422 15:05:10.911520   16888 table.go:340] seed node (age 46.9115207s): enode://1cb90896e3a3a0a54887f894cc8ed0afae5520455b177eedd7bcb00cf351445c79d230bc0529161c9e7b087dc774af5f55c4f9d77c773e4dbd70d4db90903e89@45.33.112.60:30303
I0422 15:05:10.911520   16888 table.go:340] seed node (age 44.9115207s): enode://3034a6a6da5dadd96d5680c47195d8074770f619eed641eb4a1a74f3e0da121fbfc64c5425a3ad0b9794f1cae7f4ecc0969a1acca136dd1615c330cada76c9ba@66.251.253.78:30303
I0422 15:05:10.911520   16888 table.go:340] seed node (age 911.5207ms): enode://808f2f30d004649b593a8f41e0f91f11207e6b24187f782123d87686bedf9ab0249ba7b6d2e21b142da082097626ca1e4d1762bd90652282b8f8ba80bea56101@45.79.84.183:30303
I0422 15:05:10.912020   16888 table.go:340] seed node (age 912.0208ms): enode://0783247e8da9b3bceee5d82a9af40cd07a8f09be44dc0148bfc644b85fd47a76965bdb7818b6a36071ef994021526e703d738bf060f561f6679019be8c165235@216.126.213.226:30303
I0422 15:05:10.912020   16888 table.go:340] seed node (age 912.0208ms): enode://21730d32700b8b033e06c608a87d51c7601ddb3063a8530a2c48ebcf3e8582451fa2faeebb125500436335287fca17ff7b4c2f66c5b7f28031d77143d0286cce@159.122.120.206:30303
I0422 15:05:10.912020   16888 table.go:340] seed node (age 912.0208ms): enode://865cda0c7c2fb72f599cb18b364f848a86ea268c1b9b2d871c2214e0c3a19fd4b2e431ac99387ed8e33ae334cce4bf04e722ca2134ef6edc423ec65b5bfec167@188.166.2.50:30303
I0422 15:05:10.912020   16888 table.go:340] seed node (age 912.0208ms): enode://4d4ebb39a3cd982e6980b5dd1b4906b3b7f6128aae9225a68110f7a5ee2f740cf8cf6b1c57060c6cf99a0fe69ee0f7714396a8863d1c751ebf4300996318349a@93.31.210.155:30303
I0422 15:05:10.912020   16888 table.go:340] seed node (age 912.0208ms): enode://c04b82d4c97ff254de56e203aad0c0be18781ba856305a25c235a6a37aa8005bbca7ed9109f13bc4d6bb7854a589324320fb1890b001d0683d06594ae43d3afe@91.79.141.170:30303
I0422 15:05:10.912020   16888 table.go:340] seed node (age 912.0208ms): enode://44edbd96ed7087e247da4d982b2932f720a9f3b8b9903a0dd2076f56ecadbb7bbeca1b2e81441842e9896be8f4e785d08d00024b428237cd6e10f43d873660b8@194.87.1.232:30303
I0422 15:05:10.912020   16888 table.go:340] seed node (age 912.0208ms): enode://5e1e1c32eee58bde5c19300a4f567e6323f239463046f6656202956eb045022f8a74c19aa70eefca74ef573f22ed5d4e3ddbd70a9d6e04e8647f1f6e52de00f0@98.249.192.143:30303
I0422 15:05:10.912020   16888 table.go:340] seed node (age 68h23m25.9120208s): enode://0ff725480cee38badfcace74d5dd7fe44257af846d67a4a4da8c7df60b4616de57731cdcd56929a8a79145a60fa6cc97cde8c2361a19663f6a2969821b11f654@172.12.61.53:30303
I0422 15:05:10.912020   16888 table.go:340] seed node (age 68h23m24.9120208s): enode://d278c62908111d179824792a0e257ca34bab074b0dfa7e206ab69c934ad843b0a118154b241325378e84d603a0365b02c134233b2003853653418c5d56688f49@91.125.0.161:30303
I0422 15:05:10.912520   16888 table.go:340] seed node (age 68h23m24.9125209s): enode://6708b3f6931584713ff331aa901aa5cc1458ed7f0192f3f1b0e17d1c3f54fda4e984c29d3c588728bf6d32ab194af25f9351bfaa208dc9e64128af4114248e23@93.143.148.38:30303
I0422 15:05:10.912520   16888 table.go:340] seed node (age 68h23m35.9125209s): enode://5a69b0b403fd232d7bfe0affd8cdefe0c1853f7ebeee5a56ac6a28bc82d504c6b7a99bcd07720271e4b14a8fdecd51d7df122beb557bf5b3e930e528c8d52f09@50.83.194.86:30303
I0422 15:05:10.912520   16888 table.go:340] seed node (age 68h23m12.9125209s): enode://bab540a5f3d18a1a97cf51116ed41d6f74f0c562d2773bc49fe2b03773138a22385b7a1479cd4d771c40dae6d20f811f50b73cd075883cfd46d22f0b334bfa64@31.10.152.2:30303?discport=25211
I0422 15:05:10.912520   16888 table.go:340] seed node (age 68h13m58.9125209s): enode://2e59a9ef5be7134ca98a64583bd7b4c30c7b4a8faeb51fcf933cb6f18f537308135a9e1fc27ed11ce7e48ac19c3b96ef3215cea2b82951b23f210021cb1c4d2e@65.183.146.172:30303
I0422 15:05:10.912520   16888 table.go:340] seed node (age 68h23m16.9125209s): enode://94a9327bdd05c724a5eaa65be8d142f9af60ed53b555aa743aed9ce38ffee9b3e1bb702ecf772d9a0d4744c57c7346e40c08f70165932a2e8b380e299389a001@54.152.103.175:30303
I0422 15:05:10.912520   16888 table.go:340] seed node (age 68h23m20.9125209s): enode://a153ba7b6437ba7cd8c759a9f7ed23cd5ff5e133808ddfac375690ab44aaac423550f1bf0d23c5eaeff8e6a46c4cba5652ddf421b88d2c57803ea16e05cb584a@73.151.15.7:30303
I0422 15:05:10.913521   16888 udp.go:429] >>> 66.251.253.78:30303 discover.findnode
I0422 15:05:10.914021   16888 udp.go:429] >>> 54.94.239.50:30303 discover.findnode
I0422 15:05:10.914021   16888 udp.go:429] >>> 74.208.123.194:30303 discover.findnode
I0422 15:05:10.914021   16888 udp.go:429] >>> 144.76.52.182:30303 discover.findnode
I0422 15:05:10.914521   16888 udp.go:429] >>> 136.243.73.173:30303 discover.findnode
I0422 15:05:10.914521   16888 udp.go:429] >>> 98.249.192.143:30303 discover.findnode
I0422 15:05:10.914521   16888 udp.go:429] >>> 216.126.213.226:30303 discover.findnode
I0422 15:05:10.915021   16888 udp.go:429] >>> 52.16.188.185:30303 discover.findnode
I0422 15:05:10.915021   16888 udp.go:429] >>> 50.83.194.86:30303 discover.findnode
I0422 15:05:10.915521   16888 udp.go:429] >>> 45.33.112.60:30303 discover.findnode
I0422 15:05:10.915521   16888 udp.go:429] >>> 81.217.26.88:48746 discover.findnode
I0422 15:05:10.915521   16888 udp.go:429] >>> 192.95.60.60:30303 discover.findnode
I0422 15:05:10.916021   16888 udp.go:429] >>> 65.183.146.172:30303 discover.findnode
I0422 15:05:10.916021   16888 udp.go:429] >>> 125.237.92.75:30303 discover.findnode
I0422 15:05:10.916021   16888 udp.go:429] >>> 118.105.208.127:30303 discover.findnode
I0422 15:05:10.916021   16888 udp.go:429] >>> 73.33.181.145:30303 discover.findnode
I0422 15:05:11.096057   16888 udp.go:497] <<< 216.126.213.226:30303 *discover.neighbors: ok
